n_estimators,max_depth,learning_rate,average_mse,average_r2
10,1,0.1,0.5451129338096765,0.4421521450238662
10,1,0.01,0.9160509632588344,0.06516766901775839
10,1,0.001,0.9959400259974702,-0.016151361224924977
10,2,0.1,0.4684621380281956,0.5210194787014568
10,2,0.01,0.8999193034105465,0.08150579766183033
10,2,0.001,0.9943655762961466,-0.014541268741299662
10,3,0.1,0.44098087033880295,0.5489548855589539
10,3,0.01,0.8930086648590146,0.08859913090651209
10,3,0.001,0.9937330501389738,-0.013887448955467563
10,5,0.1,0.3737497492659021,0.6174200705203396
10,5,0.01,0.8798029719114691,0.10191723169460025
10,5,0.001,0.9920485543177108,-0.012177104209575917
50,1,0.1,0.35937180760776,0.6324233253726411
50,1,0.01,0.6849661689909212,0.30006480075685127
50,1,0.001,0.9585943703821561,0.021854298794535175
50,2,0.1,0.3150056036897818,0.6780701149801007
50,2,0.01,0.635534492964639,0.3506261931785849
50,2,0.001,0.950358726103633,0.03021561286664476
50,3,0.1,0.29380034996412074,0.6998318728588077
50,3,0.01,0.6036394606852664,0.38298065622488175
50,3,0.001,0.9471569883793338,0.033516539790415335
50,5,0.1,0.27513883415216067,0.7195138803094843
50,5,0.01,0.5576771061028973,0.42977562748762993
50,5,0.001,0.9399192243424824,0.04082538065975612
100,1,0.1,0.33397390534207305,0.6586855520726711
100,1,0.01,0.5511994347426981,0.43588334641794135
100,1,0.001,0.9162333109024553,0.06497225454666014
100,2,0.1,0.2977316425183608,0.6955846295498715
100,2,0.01,0.4803720562367541,0.5088760558724499
100,2,0.001,0.9003888194436913,0.0810377862505632
100,3,0.1,0.28506652005117966,0.7088873480270462
100,3,0.01,0.4481419061744914,0.5417292744817159
100,3,0.001,0.8934867538661553,0.08810448412388419
100,5,0.1,0.27324447664949686,0.7216448825617554
100,5,0.01,0.38659926293705676,0.6040310059752503
100,5,0.001,0.880293698271106,0.10140274551093129
500,1,0.1,0.32630845565203115,0.667210240041004
500,1,0.01,0.36209148286762377,0.6296015922272954
500,1,0.001,0.6860216439001706,0.29900556663443306
500,2,0.1,0.316575897103333,0.6761078224427088
500,2,0.01,0.3157857231882589,0.677057429679596
500,2,0.001,0.6363865533225427,0.3497641544737042
500,3,0.1,0.28853101776580015,0.7062130635629408
500,3,0.01,0.2959266524279731,0.6978512551220954
500,3,0.001,0.6049443618433175,0.38168104528391494
500,5,0.1,0.2732046342582223,0.7215759843897028
500,5,0.01,0.2756546538606226,0.7186023315746013
500,5,0.001,0.5585381950163952,0.42890642438603327
1000,1,0.1,0.3420976872459175,0.6510702673976028
1000,1,0.01,0.3364557444709214,0.6560570042942679
1000,1,0.001,0.5521144017300923,0.43495380119046556
1000,2,0.1,0.33296546656470805,0.659360265979297
1000,2,0.01,0.29630364312042495,0.69716728325523
1000,2,0.001,0.481153539064701,0.5080682478877648
1000,3,0.1,0.2916641303165739,0.7029708923574296
1000,3,0.01,0.2896411736771823,0.7044998045992685
1000,3,0.001,0.44937884399770356,0.5404826418645443
1000,5,0.1,0.2732077175806934,0.7215724629975288
1000,5,0.01,0.27536746346190955,0.7189477943473981
1000,5,0.001,0.38712602828170156,0.6035003762320237
