n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,r2_0,r2_1,r2_2
10,1,0.1,multi_output_tree,13.434339569909477,13.114903264104086,292.6790609808781,-18.529217592833774,-0.050077059485820107,0.4367870477567536
10,1,0.01,multi_output_tree,85.16999266754362,16.0337610343319,574.7885270452003,-123.17665562374127,-0.28386722836757994,-0.17026606962263563
10,1,0.001,multi_output_tree,101.79706843211027,16.692914056159374,635.3706828781841,-147.4368345800662,-0.33670127832342533,-0.3023373649340747
10,2,0.1,multi_output_tree,13.483605583612535,11.679529839690654,247.31839233199844,-18.613676909781,0.06598773148952333,0.5323065764352923
10,2,0.01,multi_output_tree,85.25009607209593,15.929383910148562,567.3704654679982,-123.29226732365551,-0.2752927255693754,-0.15362250266144123
10,2,0.001,multi_output_tree,101.80612865300499,16.678548462740395,634.6071895148748,-147.4501183420653,-0.3355184907549326,-0.30056859764563365
10,3,0.1,multi_output_tree,13.731673815073577,10.197450515749631,255.61032398101048,-18.963326570997438,0.1841146880895787,0.5317629202907949
10,3,0.01,multi_output_tree,85.35927293879215,15.403787512228414,568.2608494809543,-123.43688052239565,-0.23248815370809456,-0.1487181445421167
10,3,0.001,multi_output_tree,101.81957780246373,16.62156510298367,634.6143348668872,-147.46747155810377,-0.33086482330244493,-0.2998204456275042
10,5,0.1,multi_output_tree,14.657859164839783,8.226567283202552,250.8085780510083,-20.310440835492017,0.33954920891554685,0.5438983196500213
10,5,0.01,multi_output_tree,85.86238941308106,15.08219489587213,563.5422093062086,-124.15813510553653,-0.20694012155397895,-0.1366937805962924
10,5,0.001,multi_output_tree,101.87416441227417,16.58596282010322,634.0341748806752,-147.54561827837819,-0.3280383328221774,-0.2983349838316143
50,1,0.1,multi_output_tree,0.5510672554430763,9.68864709597458,175.78636077697243,0.2508037408819265,0.22390350670419168,0.6817348361407501
50,1,0.01,multi_output_tree,38.727716934594596,14.18291535818454,399.127432041476,-55.420145427107954,-0.13562210434721383,0.21009518990606604
50,1,0.001,multi_output_tree,94.07447054791484,16.386612297309064,607.2325269720044,-136.16891947214597,-0.3121478381041474,-0.24089778658528688
50,2,0.1,multi_output_tree,0.4225919979496499,6.547781803634689,161.00379569384086,0.4289613593394945,0.47571161249085403,0.713149393385545
50,2,0.01,multi_output_tree,38.86900917554159,13.262362042232434,370.78242525111614,-55.62385548537369,-0.060611773175653985,0.271422338135319
